Lease_ID,Property_ID,Tenant_Name,Suite,SF,Rent_PSF_Monthly,Annual_Rent,Escalation_Rate,Lease_Start,Lease_Expiration,Lease_Type
HRE-1014-P6-L8,HRE-1014-P6,Jennings Inc,170,2878,2.59,89448,0.0,2024-07-24,2027-12-26,NNN
HRE-1014-P6-L9,HRE-1014-P6,Miles and Sons,180,2972,3.96,141229,0.02,2024-07-24,2028-06-23,NNN
HRE-1014-P6-L10,HRE-1014-P6,Kelley Ltd,190,3033,2.82,102636,0.02,2024-07-24,2028-07-23,NNN
HRE-1014-P7-L1,HRE-1014-P7,Fisher-Delgado,100,2511,3.27,98531,0.0,2024-07-24,2030-02-13,NNN
HRE-1014-P7-L2,HRE-1014-P7,Lee Ltd,110,2734,3.66,120077,0.03,2024-07-24,2029-07-18,NNN
HRE-1014-P7-L3,HRE-1014-P7,Acosta-Hernandez,120,2082,3.45,86194,0.0,2024-07-24,2026-11-01,NNN
HRE-1015-P1-L1,HRE-1015-P1,Johnson-Lynch,100,3571,2.15,92131,0.0,2024-07-24,2027-07-29,NNN
HRE-1015-P1-L2,HRE-1015-P1,Hicks Inc,110,3708,3.15,140162,0.03,2024-07-24,2027-10-27,NNN
HRE-1015-P1-L3,HRE-1015-P1,"Smith, Hunt and Todd",120,3740,2.06,92452,0.025,2024-07-24,2027-03-31,NNN
HRE-1015-P1-L4,HRE-1015-P1,Holland-Wright,130,3913,3.33,156363,0.02,2024-07-24,2030-09-11,NNN
HRE-1015-P2-L1,HRE-1015-P2,"Griffin, Robinson and Palmer",100,473,2.87,16290,0.02,2024-07-24,2028-10-21,NNN
HRE-1015-P2-L2,HRE-1015-P2,Cruz and Sons,110,348,3.92,16369,0.025,2024-07-24,2028-09-21,NNN
HRE-1015-P2-L3,HRE-1015-P2,Garcia-Quinn,120,484,2.86,16610,0.03,2024-07-24,2030-04-14,NNN
HRE-1015-P2-L4,HRE-1015-P2,Patterson-Vasquez,130,465,2.09,11662,0.03,2024-07-24,2026-11-01,NNN
HRE-1015-P2-L5,HRE-1015-P2,Crawford-Castro,140,407,3.73,18217,0.02,2024-07-24,2028-10-21,NNN
HRE-1015-P2-L6,HRE-1015-P2,Robertson-Sanchez,150,444,3.82,20352,0.02,2024-07-24,2027-03-31,NNN
HRE-1015-P2-L7,HRE-1015-P2,"Garrett, Beck and Pierce",160,485,3.99,23221,0.02,2024-07-24,2026-09-02,NNN
HRE-1015-P2-L8,HRE-1015-P2,"Roy, Stewart and Smith",170,411,3.7,18248,0.03,2024-07-24,2027-10-27,NNN
HRE-1015-P2-L9,HRE-1015-P2,"Collins, Barrett and Anderson",180,374,2.56,11489,0.02,2024-07-24,2028-11-20,NNN
HRE-1015-P3-L1,HRE-1015-P3,"Hanson, Bullock and Berg",100,4712,2.33,131747,0.0,2024-07-24,2029-08-17,NNN
HRE-1015-P3-L2,HRE-1015-P3,Martinez and Sons,110,4829,2.56,148346,0.0,2024-07-24,2026-10-02,NNN
HRE-1015-P3-L3,HRE-1015-P3,Gonzalez Group,120,5217,3.82,239147,0.02,2024-07-24,2026-06-04,NNN
HRE-1015-P3-L4,HRE-1015-P3,Lee-Hernandez,130,6684,3.77,302384,0.025,2024-07-24,2029-01-19,NNN
HRE-1015-P3-L5,HRE-1015-P3,"Munoz, Clark and Hamilton",140,5984,3.34,239838,0.02,2024-07-24,2030-11-10,NNN
HRE-1015-P3-L6,HRE-1015-P3,Miles Inc,150,4802,2.61,150398,0.0,2024-07-24,2026-12-01,NNN
HRE-1015-P3-L7,HRE-1015-P3,"Myers, Sandoval and Allen",160,4940,2.41,142864,0.03,2024-07-24,2026-10-02,NNN
HRE-1015-P3-L8,HRE-1015-P3,"Crawford, Stewart and Juarez",170,4925,2.05,121155,0.02,2024-07-24,2026-09-02,NNN
HRE-1015-P3-L9,HRE-1015-P3,"Johnson, Williams and Lopez",180,6229,3.26,243678,0.03,2024-07-24,2026-07-04,NNN
HRE-1015-P4-L1,HRE-1015-P4,"Garcia, Booth and Lopez",100,2039,2.26,55297,0.025,2024-07-24,2028-11-20,NNN
HRE-1015-P4-L2,HRE-1015-P4,Todd-Lynch,110,1537,2.03,37441,0.0,2024-07-24,2029-08-17,NNN
HRE-1015-P4-L3,HRE-1015-P4,Martinez Inc,120,1539,2.47,45615,0.02,2024-07-24,2028-12-20,NNN
HRE-1015-P4-L4,HRE-1015-P4,"Blake, House and Gonzalez",130,1485,3.17,56489,0.03,2024-07-24,2028-07-23,NNN
HRE-1015-P4-L5,HRE-1015-P4,Mcbride-Moses,140,1745,3.94,82503,0.02,2024-07-24,2026-09-02,NNN
HRE-1015-P4-L6,HRE-1015-P4,Phelps and Sons,150,1795,2.49,53634,0.03,2024-07-24,2027-03-01,NNN
HRE-1015-P5-L1,HRE-1015-P5,Robinson LLC,100,19076,3.9,892756,0.025,2024-07-24,2026-07-04,NNN
HRE-1015-P5-L2,HRE-1015-P5,Gardner Group,110,24416,3.62,1060631,0.025,2024-07-24,2027-04-30,NNN
HRE-1015-P5-L3,HRE-1015-P5,"Obrien, Rodriguez and Joyce",120,23300,3.21,897516,0.03,2024-07-24,2027-01-30,NNN
HRE-1016-P1-L1,HRE-1016-P1,Oliver-Blair,100,4440,3.11,165700,0.0,2024-07-24,2026-10-02,NNN
HRE-1016-P1-L2,HRE-1016-P1,"Williams, Simpson and Madden",110,4090,2.41,118282,0.0,2024-07-24,2027-03-01,NNN
HRE-1016-P1-L3,HRE-1016-P1,"Pearson, Rodriguez and King",120,4699,2.28,128564,0.0,2024-07-24,2029-06-18,NNN
HRE-1016-P1-L4,HRE-1016-P1,Smith-Gordon,130,5148,3.83,236602,0.0,2024-07-24,2026-12-01,NNN
HRE-1016-P1-L5,HRE-1016-P1,"Santos, Gallegos and Hardin",140,4675,2.06,115566,0.025,2024-07-24,2026-12-01,NNN
HRE-1016-P1-L6,HRE-1016-P1,Mathis-Fields,150,5188,3.3,205444,0.03,2024-07-24,2029-05-19,NNN
HRE-1016-P1-L7,HRE-1016-P1,"Goodman, Fitzgerald and Nelson",160,4415,3.33,176423,0.03,2024-07-24,2027-03-31,NNN
HRE-1016-P1-L8,HRE-1016-P1,"Cox, Clark and Johnson",170,3966,3.03,144203,0.02,2024-07-24,2027-09-27,NNN
HRE-1016-P1-L9,HRE-1016-P1,"Smith, Barron and Davis",180,4689,2.47,138981,0.02,2024-07-24,2027-12-26,NNN
HRE-1017-P1-L1,HRE-1017-P1,Midwest Health Ops OpCo,Entire Facility,0,0.0,797321,0.02,2024-06-15,2035-04-09,Master Lease
HRE-1018-P1-L1,HRE-1018-P1,Davis and Sons,100,510,2.29,14014,0.025,2024-07-24,2028-03-25,NNN
HRE-1018-P1-L2,HRE-1018-P1,Mason-Berry,110,634,2.58,19628,0.03,2024-07-24,2029-08-17,NNN
HRE-1018-P1-L3,HRE-1018-P1,Moody-Reese,120,661,3.26,25858,0.0,2024-07-24,2028-12-20,NNN
HRE-1018-P1-L4,HRE-1018-P1,Cordova and Sons,130,695,2.21,18431,0.02,2024-07-24,2029-12-15,NNN
HRE-1018-P1-L5,HRE-1018-P1,"Jenkins, Huber and Wallace",140,597,2.59,18554,0.02,2024-07-24,2027-03-01,NNN
HRE-1018-P1-L6,HRE-1018-P1,Hayes-Miller,150,538,3.87,24984,0.02,2024-07-24,2029-12-15,NNN
HRE-1018-P1-L7,HRE-1018-P1,Bright-Wagner,160,490,3.26,19168,0.02,2024-07-24,2027-01-30,NNN
HRE-1018-P1-L8,HRE-1018-P1,Morales and Sons,170,633,3.6,27345,0.025,2024-07-24,2026-10-02,NNN
HRE-1018-P2-L1,HRE-1018-P2,Duncan PLC,100,1966,2.05,48363,0.025,2024-07-24,2029-08-17,NNN
HRE-1018-P2-L2,HRE-1018-P2,Holder-Parsons,110,2630,2.17,68485,0.0,2024-07-24,2026-07-04,NNN
HRE-1018-P2-L3,HRE-1018-P2,"Hall, Jones and Lane",120,2014,2.12,51236,0.03,2024-07-24,2026-12-01,NNN
HRE-1018-P2-L4,HRE-1018-P2,"Serrano, Owens and Shepherd",130,2141,3.95,101483,0.0,2024-07-24,2030-11-10,NNN
HRE-1018-P2-L5,HRE-1018-P2,Sexton LLC,140,2698,2.6,84177,0.0,2024-07-24,2030-07-13,NNN
HRE-1018-P2-L6,HRE-1018-P2,Kelly Inc,150,2688,3.33,107412,0.025,2024-07-24,2026-06-04,NNN
HRE-1018-P3-L1,HRE-1018-P3,"Dorsey, Sandoval and Scott",100,7158,2.85,244803,0.0,2024-07-24,2028-10-21,NNN
HRE-1018-P3-L2,HRE-1018-P3,Miller-Cruz,110,8343,3.32,332385,0.025,2024-07-24,2029-03-20,NNN
HRE-1018-P3-L3,HRE-1018-P3,Watson-Simmons,120,7553,3.07,278252,0.03,2024-07-24,2029-04-19,NNN
HRE-1018-P3-L4,HRE-1018-P3,Martinez-Palmer,130,7284,2.2,192297,0.03,2024-07-24,2029-12-15,NNN
HRE-1018-P3-L5,HRE-1018-P3,Murphy PLC,140,8333,2.18,217991,0.03,2024-07-24,2027-07-29,NNN
HRE-1018-P4-L1,HRE-1018-P4,Miller Group,100,1901,2.2,50186,0.02,2024-07-24,2028-01-25,NNN
HRE-1018-P4-L2,HRE-1018-P4,"Lara, Villa and Conway",110,2487,3.11,92814,0.03,2024-07-24,2027-05-30,NNN
HRE-1018-P4-L3,HRE-1018-P4,Hopkins Group,120,1990,2.67,63759,0.03,2024-07-24,2027-03-31,NNN
HRE-1018-P4-L4,HRE-1018-P4,Lozano-Sandoval,130,2257,2.65,71772,0.0,2024-07-24,2030-08-12,NNN
HRE-1018-P4-L5,HRE-1018-P4,"Decker, Murphy and Ho",140,2748,3.59,118383,0.03,2024-07-24,2030-09-11,NNN
HRE-1018-P4-L6,HRE-1018-P4,Morales LLC,150,2138,2.27,58239,0.03,2024-07-24,2029-11-15,NNN
HRE-1018-P4-L7,HRE-1018-P4,"Rivera, Hernandez and Soto",160,2305,2.72,75235,0.02,2024-07-24,2027-04-30,NNN
HRE-1018-P4-L8,HRE-1018-P4,Smith Inc,170,1934,2.09,48504,0.02,2024-07-24,2029-10-16,NNN
HRE-1018-P4-L9,HRE-1018-P4,Munoz-Sanchez,180,2617,3.59,112740,0.03,2024-07-24,2029-07-18,NNN
HRE-1018-P5-L1,HRE-1018-P5,"Gaines, Jimenez and Smith",100,1073,3.28,42233,0.0,2024-07-24,2028-04-24,NNN
HRE-1018-P5-L2,HRE-1018-P5,Pierce-Davis,110,1057,3.65,46296,0.02,2024-07-24,2029-12-15,NNN
HRE-1018-P5-L3,HRE-1018-P5,"Buckley, Gentry and Sharp",120,1126,2.39,32293,0.025,2024-07-24,2027-01-30,NNN
HRE-1018-P5-L4,HRE-1018-P5,"Stein, Todd and Tapia",130,1042,3.9,48765,0.03,2024-07-24,2027-03-31,NNN
HRE-1018-P5-L5,HRE-1018-P5,"Martin, Thompson and Rodriguez",140,1029,3.68,45440,0.02,2024-07-24,2028-08-22,NNN
HRE-1018-P5-L6,HRE-1018-P5,Francis Group,150,1132,2.58,35046,0.03,2024-07-24,2026-06-04,NNN
HRE-1018-P5-L7,HRE-1018-P5,"Conley, Richardson and Powell",160,1098,2.56,33730,0.025,2024-07-24,2028-06-23,NNN
HRE-1018-P5-L8,HRE-1018-P5,Williams-Marks,170,1105,2.35,31161,0.025,2024-07-24,2030-07-13,NNN
HRE-1018-P5-L9,HRE-1018-P5,Palmer Inc,180,904,2.09,22672,0.0,2024-07-24,2029-09-16,NNN
HRE-1018-P6-L1,HRE-1018-P6,"Martinez, Blair and Brown",100,1153,2.08,28778,0.0,2024-07-24,2026-12-01,NNN
HRE-1018-P6-L2,HRE-1018-P6,"Cook, Johnson and Riley",110,1257,3.58,54000,0.02,2024-07-24,2030-01-14,NNN
HRE-1018-P6-L3,HRE-1018-P6,Frye-Downs,120,1079,2.81,36383,0.025,2024-07-24,2026-11-01,NNN
HRE-1018-P6-L4,HRE-1018-P6,"Maynard, Berg and Davis",130,931,3.56,39772,0.025,2024-07-24,2028-05-24,NNN
HRE-1018-P7-L1,HRE-1018-P7,"Wallace, Roberts and York",100,3353,3.6,144849,0.025,2024-07-24,2026-07-04,NNN
HRE-1018-P7-L2,HRE-1018-P7,"Munoz, Watson and Hall",110,3804,2.76,125988,0.02,2024-07-24,2028-10-21,NNN
HRE-1018-P7-L3,HRE-1018-P7,"Houston, Henderson and Obrien",120,3449,3.02,124991,0.0,2024-07-24,2030-05-14,NNN
HRE-1018-P7-L4,HRE-1018-P7,Thomas and Sons,130,4128,3.0,148608,0.02,2024-07-24,2028-01-25,NNN
HRE-1018-P7-L5,HRE-1018-P7,"Morris, Kelly and Brown",140,4134,3.01,149320,0.03,2024-07-24,2029-01-19,NNN
HRE-1018-P7-L6,HRE-1018-P7,"Barnes, Baldwin and Castillo",150,3388,3.05,124000,0.025,2024-07-24,2027-10-27,NNN
HRE-1018-P7-L7,HRE-1018-P7,James-Andersen,160,3651,3.32,145455,0.03,2024-07-24,2029-10-16,NNN
HRE-1018-P8-L1,HRE-1018-P8,"Reeves, Morris and Jimenez",100,4307,3.18,164355,0.0,2024-07-24,2028-08-22,NNN
HRE-1018-P8-L2,HRE-1018-P8,Wells Ltd,110,3793,3.35,152478,0.0,2024-07-24,2029-12-15,NNN
HRE-1018-P8-L3,HRE-1018-P8,Joseph-Lynch,120,3332,2.75,109956,0.03,2024-07-24,2028-05-24,NNN
HRE-1018-P8-L4,HRE-1018-P8,Mccann-Bates,130,4071,2.76,134831,0.02,2024-07-24,2029-02-18,NNN
HRE-1019-P1-L1,HRE-1019-P1,"Meyer, Cobb and Hardy",100,16782,3.82,769286,0.025,2024-07-24,2028-05-24,NNN
HRE-1019-P1-L2,HRE-1019-P1,Gonzalez LLC,110,14645,2.25,395415,0.02,2024-07-24,2029-09-16,NNN
HRE-1019-P1-L3,HRE-1019-P1,Mcdowell PLC,120,14120,2.45,415128,0.03,2024-07-24,2026-09-02,NNN
HRE-1019-P1-L4,HRE-1019-P1,"Silva, Mcdonald and Buchanan",130,13411,2.83,455437,0.02,2024-07-24,2029-01-19,NNN
HRE-1019-P1-L5,HRE-1019-P1,"Archer, Dyer and Price",140,14058,3.77,635983,0.0,2024-07-24,2026-10-02,NNN
HRE-1019-P1-L6,HRE-1019-P1,"Oconnell, Brown and Dunn",150,11751,3.21,452648,0.0,2024-07-24,2026-12-31,NNN
HRE-1019-P1-L7,HRE-1019-P1,"Bean, Evans and Barajas",160,13809,2.2,364557,0.025,2024-07-24,2026-11-01,NNN
HRE-1020-P1-L1,HRE-1020-P1,Midwest Health Ops OpCo,Entire Facility,0,0.0,1329278,0.02,2023-10-19,2034-08-12,Master Lease
HRE-1021-P1-L1,HRE-1021-P1,Midwest Health Ops OpCo,Entire Facility,0,0.0,558392,0.02,2024-05-14,2035-03-08,Master Lease
HRE-1022-P1-L1,HRE-1022-P1,"Pugh, Suarez and Stone",100,9913,3.12,371142,0.0,2024-07-24,2028-06-23,NNN
HRE-1022-P1-L2,HRE-1022-P1,Valencia Ltd,110,9818,2.2,259195,0.025,2024-07-24,2026-09-02,NNN
HRE-1022-P1-L3,HRE-1022-P1,Williams-Perry,120,12136,2.43,353885,0.0,2024-07-24,2027-11-26,NNN
HRE-1022-P1-L4,HRE-1022-P1,Smith-Carter,130,10632,2.34,298546,0.02,2024-07-24,2028-11-20,NNN
HRE-1022-P1-L5,HRE-1022-P1,"Johnson, Davis and Salinas",140,8432,2.52,254983,0.03,2024-07-24,2027-01-30,NNN
HRE-1022-P1-L6,HRE-1022-P1,Wood-Clark,150,11980,3.86,554913,0.025,2024-07-24,2030-06-13,NNN
HRE-1022-P1-L7,HRE-1022-P1,"Valdez, Kent and Jones",160,9945,2.89,344892,0.02,2024-07-24,2028-05-24,NNN
HRE-1022-P1-L8,HRE-1022-P1,Anderson-Dyer,170,10693,3.96,508131,0.025,2024-07-24,2028-04-24,NNN
HRE-1022-P1-L9,HRE-1022-P1,Burke and Sons,180,9011,3.37,364404,0.02,2024-07-24,2030-06-13,NNN
HRE-1022-P2-L1,HRE-1022-P2,Stephens-Reynolds,100,167,2.09,4188,0.0,2024-07-24,2027-03-31,NNN
HRE-1022-P2-L2,HRE-1022-P2,Brewer PLC,110,174,2.46,5136,0.02,2024-07-24,2027-03-31,NNN
HRE-1022-P2-L3,HRE-1022-P2,Morgan-Cooper,120,170,2.4,4896,0.025,2024-07-24,2026-09-02,NNN
HRE-1022-P2-L4,HRE-1022-P2,Alexander-Kent,130,184,2.05,4526,0.02,2024-07-24,2029-11-15,NNN
HRE-1022-P2-L5,HRE-1022-P2,"Ramirez, Hayes and Nguyen",140,140,2.08,3494,0.025,2024-07-24,2028-05-24,NNN
HRE-1022-P2-L6,HRE-1022-P2,Hughes Ltd,150,186,3.14,7008,0.0,2024-07-24,2029-01-19,NNN
HRE-1022-P2-L7,HRE-1022-P2,"Edwards, Patterson and Montgomery",160,166,2.46,4900,0.03,2024-07-24,2029-07-18,NNN
HRE-1022-P2-L8,HRE-1022-P2,"Jones, Hayes and Valentine",170,156,2.76,5166,0.03,2024-07-24,2026-12-01,NNN
HRE-1022-P2-L9,HRE-1022-P2,"Lopez, Dalton and Mccormick",180,144,2.55,4406,0.03,2024-07-24,2027-04-30,NNN
HRE-1022-P3-L1,HRE-1022-P3,Potter-Esparza,100,92,2.39,2638,0.025,2024-07-24,2026-07-04,NNN
HRE-1022-P3-L2,HRE-1022-P3,Sanders PLC,110,82,2.32,2282,0.025,2024-07-24,2029-06-18,NNN
HRE-1022-P3-L3,HRE-1022-P3,Case-Shah,120,69,2.72,2252,0.02,2024-07-24,2030-04-14,NNN
HRE-1022-P3-L4,HRE-1022-P3,"Alvarez, Kim and Cortez",130,84,3.9,3931,0.025,2024-07-24,2027-12-26,NNN
HRE-1022-P3-L5,HRE-1022-P3,Thomas Ltd,140,87,2.49,2599,0.0,2024-07-24,2026-07-04,NNN
HRE-1022-P3-L6,HRE-1022-P3,Daugherty-Ellis,150,86,3.97,4097,0.03,2024-07-24,2030-05-14,NNN
HRE-1022-P3-L7,HRE-1022-P3,"Wheeler, Brown and Gregory",160,100,3.13,3756,0.025,2024-07-24,2026-06-04,NNN
HRE-1022-P4-L1,HRE-1022-P4,Kim Ltd,100,12061,3.24,468931,0.0,2024-07-24,2030-06-13,NNN
HRE-1022-P4-L2,HRE-1022-P4,Luna Group,110,12230,3.7,543012,0.025,2024-07-24,2027-03-31,NNN
HRE-1022-P4-L3,HRE-1022-P4,"Thomas, Juarez and Anderson",120,12462,2.25,336474,0.03,2024-07-24,2029-07-18,NNN
HRE-1022-P5-L1,HRE-1022-P5,Haynes PLC,100,1944,2.09,48755,0.02,2024-07-24,2028-04-24,NNN
HRE-1022-P5-L2,HRE-1022-P5,"Boyd, Jarvis and Gonzalez",110,2664,2.71,86633,0.03,2024-07-24,2027-03-01,NNN
HRE-1022-P5-L3,HRE-1022-P5,Russo-Gates,120,1921,3.46,79759,0.02,2024-07-24,2028-12-20,NNN
HRE-1022-P5-L4,HRE-1022-P5,Ware Group,130,2459,3.37,99441,0.02,2024-07-24,2028-07-23,NNN
HRE-1022-P5-L5,HRE-1022-P5,Jackson Ltd,140,2668,3.86,123581,0.0,2024-07-24,2030-06-13,NNN
HRE-1022-P5-L6,HRE-1022-P5,"Hughes, Johnson and Ballard",150,2655,3.96,126165,0.0,2024-07-24,2026-09-02,NNN
HRE-1022-P5-L7,HRE-1022-P5,Adams-Torres,160,2543,3.37,102838,0.02,2024-07-24,2026-12-01,NNN
HRE-1023-P1-L1,HRE-1023-P1,"Thompson, Gibson and Barnes",100,1585,2.48,47169,0.025,2024-07-24,2029-10-16,NNN
HRE-1023-P1-L2,HRE-1023-P1,Dougherty LLC,110,2154,3.45,89175,0.025,2024-07-24,2028-07-23,NNN
HRE-1023-P1-L3,HRE-1023-P1,Brown Inc,120,1778,2.75,58674,0.0,2024-07-24,2026-07-04,NNN
HRE-1023-P1-L4,HRE-1023-P1,Kramer Group,130,2097,3.79,95371,0.0,2024-07-24,2029-02-18,NNN
HRE-1023-P1-L5,HRE-1023-P1,Keller-Torres,140,1779,2.58,55077,0.0,2024-07-24,2027-06-29,NNN
HRE-1023-P1-L6,HRE-1023-P1,Trevino Ltd,150,1512,3.86,70035,0.025,2024-07-24,2030-06-13,NNN
HRE-1023-P1-L7,HRE-1023-P1,"Gilmore, Sawyer and Yoder",160,1928,2.76,63855,0.025,2024-07-24,2026-08-03,NNN
HRE-1023-P2-L1,HRE-1023-P2,Berry-Rodriguez,100,9113,2.14,234021,0.0,2024-07-24,2028-10-21,NNN
HRE-1023-P2-L2,HRE-1023-P2,Perry-Hernandez,110,8023,3.93,378364,0.025,2024-07-24,2029-04-19,NNN
HRE-1023-P2-L3,HRE-1023-P2,Lopez-Wells,120,7765,2.78,259040,0.02,2024-07-24,2026-12-31,NNN
HRE-1023-P2-L4,HRE-1023-P2,Wilson-Phillips,130,7573,2.23,202653,0.0,2024-07-24,2028-07-23,NNN
HRE-1023-P2-L5,HRE-1023-P2,Glover-Keith,140,7235,2.09,181453,0.03,2024-07-24,2029-06-18,NNN
HRE-1023-P2-L6,HRE-1023-P2,"Sanchez, Hunter and Peterson",150,9428,3.65,412946,0.03,2024-07-24,2029-01-19,NNN
HRE-1023-P2-L7,HRE-1023-P2,Spence-Lee,160,9289,2.64,294275,0.0,2024-07-24,2028-01-25,NNN
HRE-1023-P2-L8,HRE-1023-P2,Hatfield-Thompson,170,6511,3.43,267992,0.03,2024-07-24,2029-08-17,NNN
HRE-1023-P2-L9,HRE-1023-P2,Ayala-Thompson,180,9332,3.87,433378,0.02,2024-07-24,2026-07-04,NNN
HRE-1023-P3-L1,HRE-1023-P3,Gomez Group,100,11096,2.43,323559,0.025,2024-07-24,2027-03-01,NNN
HRE-1023-P3-L2,HRE-1023-P3,Vaughn-Daniels,110,12551,3.9,587386,0.025,2024-07-24,2028-08-22,NNN
HRE-1023-P3-L3,HRE-1023-P3,Miller and Sons,120,11766,3.38,477228,0.03,2024-07-24,2030-04-14,NNN
HRE-1023-P3-L4,HRE-1023-P3,"Beck, Potter and Hayes",130,12028,2.97,428677,0.02,2024-07-24,2029-08-17,NNN
HRE-1023-P3-L5,HRE-1023-P3,Anderson-Mcintyre,140,8456,3.55,360225,0.0,2024-07-24,2029-12-15,NNN
HRE-1023-P4-L1,HRE-1023-P4,Johnson and Sons,100,734,2.89,25455,0.025,2024-07-24,2027-03-01,NNN
HRE-1023-P4-L2,HRE-1023-P4,"Delacruz, Bartlett and Perez",110,630,2.06,15573,0.02,2024-07-24,2026-12-01,NNN
HRE-1023-P4-L3,HRE-1023-P4,Ward-Gillespie,120,682,2.91,23815,0.025,2024-07-24,2028-06-23,NNN
HRE-1023-P4-L4,HRE-1023-P4,Burgess PLC,130,694,2.67,22235,0.02,2024-07-24,2026-08-03,NNN
HRE-1024-P1-L1,HRE-1024-P1,"Nunez, King and Johns",100,4611,3.02,167102,0.02,2024-07-24,2027-09-27,NNN
HRE-1024-P1-L2,HRE-1024-P1,Patterson Group,110,6354,2.16,164695,0.02,2024-07-24,2028-01-25,NNN
HRE-1024-P1-L3,HRE-1024-P1,Wagner Group,120,4895,3.79,222624,0.03,2024-07-24,2026-12-01,NNN
HRE-1024-P1-L4,HRE-1024-P1,Thompson-Evans,130,5297,3.44,218660,0.03,2024-07-24,2030-04-14,NNN
HRE-1024-P1-L5,HRE-1024-P1,Roberts-Hendricks,140,5130,2.64,162518,0.02,2024-07-24,2028-04-24,NNN
HRE-1024-P1-L6,HRE-1024-P1,Mitchell Group,150,6532,2.44,191256,0.025,2024-07-24,2027-03-01,NNN
HRE-1025-P1-L1,HRE-1025-P1,Martinez Ltd,100,15968,3.32,636165,0.0,2024-07-24,2029-06-18,NNN
HRE-1025-P1-L2,HRE-1025-P1,"Burton, Parrish and Galloway",110,15682,2.1,395186,0.02,2024-07-24,2030-07-13,NNN
HRE-1025-P1-L3,HRE-1025-P1,Cook and Sons,120,14620,3.26,571934,0.025,2024-07-24,2027-08-28,NNN
HRE-1025-P1-L4,HRE-1025-P1,Carr Group,130,13960,3.59,601396,0.025,2024-07-24,2029-02-18,NNN
HRE-1025-P1-L5,HRE-1025-P1,"Baker, Mason and Young",140,13489,2.16,349634,0.0,2024-07-24,2028-01-25,NNN
HRE-1026-P1-L1,HRE-1026-P1,Gibbs-Hill,100,2796,3.7,124142,0.025,2024-07-24,2029-10-16,NNN
HRE-1026-P1-L2,HRE-1026-P1,Martin and Sons,110,3485,3.05,127551,0.025,2024-07-24,2027-04-30,NNN
HRE-1026-P1-L3,HRE-1026-P1,Brown-Beck,120,2945,2.85,100719,0.02,2024-07-24,2028-07-23,NNN
HRE-1026-P1-L4,HRE-1026-P1,Torres-Garcia,130,2932,2.36,83034,0.025,2024-07-24,2029-08-17,NNN
HRE-1026-P1-L5,HRE-1026-P1,"Smith, Stevenson and Cummings",140,3371,2.89,116906,0.02,2024-07-24,2027-07-29,NNN
HRE-1026-P1-L6,HRE-1026-P1,Mcconnell-Johnson,150,3209,3.77,145175,0.02,2024-07-24,2029-04-19,NNN
HRE-1026-P1-L7,HRE-1026-P1,"Richardson, Henson and Rodriguez",160,2762,3.92,129924,0.0,2024-07-24,2030-04-14,NNN
HRE-1026-P1-L8,HRE-1026-P1,"Nolan, Kaufman and Hanson",170,3125,2.62,98250,0.025,2024-07-24,2030-04-14,NNN
HRE-1026-P1-L9,HRE-1026-P1,"Adams, West and Henry",180,3247,2.36,91955,0.0,2024-07-24,2030-08-12,NNN
HRE-1027-P1-L1,HRE-1027-P1,Midwest Health Ops OpCo,Entire Facility,0,0.0,810037,0.02,2024-02-12,2034-12-06,Master Lease
HRE-1028-P1-L1,HRE-1028-P1,"Tran, Caldwell and Garner",100,10790,3.45,446706,0.03,2024-07-24,2029-09-16,NNN
HRE-1028-P1-L2,HRE-1028-P1,"Freeman, Nelson and Castillo",110,9112,3.97,434095,0.02,2024-07-24,2029-07-18,NNN
HRE-1028-P1-L3,HRE-1028-P1,Rodriguez LLC,120,10009,2.61,313481,0.02,2024-07-24,2026-09-02,NNN
HRE-1028-P1-L4,HRE-1028-P1,Shannon-Carter,130,9223,3.75,415035,0.02,2024-07-24,2029-07-18,NNN
HRE-1028-P1-L5,HRE-1028-P1,Brown-Peterson,140,9870,3.9,461916,0.02,2024-07-24,2027-12-26,NNN
HRE-1029-P1-L1,HRE-1029-P1,Apex Healthcare OpCo,Entire Facility,0,0.0,1473746,0.02,2024-05-11,2035-03-05,Master Lease
HRE-1030-P1-L1,HRE-1030-P1,Beacon Capital OpCo,Entire Facility,0,0.0,977699,0.02,2024-12-18,2035-10-12,Master Lease
HRE-1031-P1-L1,HRE-1031-P1,"Murphy, Butler and Lee",100,11778,2.63,371713,0.025,2024-07-24,2029-04-19,NNN
HRE-1031-P1-L2,HRE-1031-P1,Cisneros-Reyes,110,9985,2.85,341487,0.03,2024-07-24,2029-07-18,NNN
HRE-1031-P1-L3,HRE-1031-P1,Peterson LLC,120,11990,2.81,404302,0.02,2024-07-24,2030-04-14,NNN
HRE-1031-P1-L4,HRE-1031-P1,"Lewis, Salinas and Vance",130,11664,2.25,314928,0.02,2024-07-24,2030-08-12,NNN
HRE-1031-P1-L5,HRE-1031-P1,"Gonzales, Jones and Scott",140,13743,2.43,400745,0.0,2024-07-24,2028-07-23,NNN
HRE-1032-P1-L1,HRE-1032-P1,Beacon Capital OpCo,Entire Facility,0,0.0,1062022,0.02,2024-07-27,2035-05-21,Master Lease
HRE-1033-P1-L1,HRE-1033-P1,Apex Healthcare OpCo,Entire Facility,0,0.0,1121086,0.02,2023-03-11,2034-01-02,Master Lease
