Deal_ID,Deal_Name,Sponsor,Structure,Deal_Type,Closing_Date,Aggregate_Loan_Amount,Aggregate_Valuation,LTV,Interest_Rate,Spread_bps,LTC,Cap_Rate,Debt_Yield,DSCR,Total_Cost,NOI
HRE-1142,Silver Care Partners Skilled Nursing Portfolio,Silver Care Partners,Portfolio,Acquisition,2025-08-21,16000000,23900000,0.67,0.0894,364,0.69,0.0824,0.1231,1.38,23136236,1969997
HRE-1143,Silver Care Partners Skilled Nursing facility,Silver Care Partners,Single Asset,Refinance,2025-05-21,14100000,19900000,0.71,0.0907,377,0.69,0.0844,0.1192,1.31,20546624,1680396
HRE-1144,Silver Care Partners Senior Housing Portfolio,Silver Care Partners,Portfolio,Refinance,2024-01-17,21200000,34800000,0.61,0.0894,444,0.61,0.0967,0.1587,1.77,34654965,3363511
HRE-1145,Silver Care Partners Medical Office facility,Silver Care Partners,Single Asset,Refinance,2024-12-12,10900000,16000000,0.68,0.0929,399,0.68,0.0898,0.1318,1.42,16088551,1436731
HRE-1146,Apex Healthcare Skilled Nursing facility,Apex Healthcare,Single Asset,Acquisition,2025-11-10,14800000,21400000,0.69,0.0883,353,0.68,0.0826,0.1194,1.35,21828768,1767264
HRE-1147,Silver Care Partners Life Science facility,Silver Care Partners,Single Asset,Acquisition,2025-04-25,8000000,11700000,0.68,0.091,380,0.69,0.0875,0.128,1.41,11542053,1024133
HRE-1148,Beacon Capital Life Science facility,Beacon Capital,Single Asset,Refinance,2024-03-09,5900000,9800000,0.6,0.0887,437,0.61,0.0897,0.149,1.68,9644494,878945
HRE-1149,Midwest Health Ops Life Science facility,Midwest Health Ops,Single Asset,Refinance,2025-09-05,7500000,11200000,0.67,0.0892,362,0.65,0.0863,0.1289,1.45,11498583,967096
HRE-1150,Silver Care Partners Senior Housing facility,Silver Care Partners,Single Asset,Acquisition,2025-09-11,17400000,23900000,0.73,0.0891,361,0.72,0.0842,0.1157,1.3,24209457,2013363
HRE-1151,Silver Care Partners Skilled Nursing Portfolio,Silver Care Partners,Portfolio,Acquisition,2025-11-25,70200000,103200000,0.68,0.0881,351,0.64,0.0849,0.1247,1.42,109805521,8756760
HRE-1152,Beacon Capital Life Science facility,Beacon Capital,Single Asset,Refinance,2024-01-13,5700000,9600000,0.59,0.0894,444,0.62,0.0971,0.1636,1.83,9174680,932390
HRE-1153,Midwest Health Ops Life Science Portfolio,Midwest Health Ops,Portfolio,Refinance,2024-11-13,19000000,29700000,0.64,0.0853,403,0.63,0.0941,0.147,1.72,30391245,2793794
HRE-1154,Apex Healthcare Senior Housing Portfolio,Apex Healthcare,Portfolio,Refinance,2025-03-17,13500000,20400000,0.66,0.0916,386,0.64,0.0923,0.1395,1.52,21116476,1883684
HRE-1155,Beacon Capital Skilled Nursing facility,Beacon Capital,Single Asset,Acquisition,2024-11-03,10600000,16800000,0.63,0.0854,404,0.61,0.0863,0.1367,1.6,17383402,1449549
HRE-1156,Apex Healthcare Life Science facility,Apex Healthcare,Single Asset,Acquisition,2024-08-11,6700000,10400000,0.64,0.0866,416,0.59,0.0929,0.1441,1.66,11376946,965733
HRE-1157,Apex Healthcare Medical Office facility,Apex Healthcare,Single Asset,Refinance,2025-04-08,10200000,15700000,0.65,0.0913,383,0.6,0.0891,0.1371,1.5,17065293,1398440
HRE-1158,Silver Care Partners Skilled Nursing Portfolio,Silver Care Partners,Portfolio,Acquisition,2024-01-18,37300000,57400000,0.65,0.0894,444,0.65,0.0971,0.1494,1.67,57071757,5574158
HRE-1159,Midwest Health Ops Skilled Nursing facility,Midwest Health Ops,Single Asset,Refinance,2025-02-11,13000000,18600000,0.7,0.092,390,0.69,0.0874,0.125,1.36,18779325,1624965
HRE-1160,Silver Care Partners Skilled Nursing facility,Silver Care Partners,Single Asset,Acquisition,2024-05-10,7900000,13000000,0.61,0.0878,428,0.55,0.0947,0.1558,1.77,14236274,1230507
HRE-1161,Beacon Capital Medical Office Portfolio,Beacon Capital,Portfolio,Acquisition,2024-05-02,26200000,43000000,0.61,0.0879,429,0.63,0.0967,0.1587,1.81,41499072,4159080
HRE-1162,Apex Healthcare Skilled Nursing facility,Apex Healthcare,Single Asset,Acquisition,2024-09-08,20500000,31600000,0.65,0.0862,412,0.64,0.0916,0.1411,1.64,31940256,2893223
HRE-1163,Midwest Health Ops Life Science Portfolio,Midwest Health Ops,Portfolio,Refinance,2025-09-17,22000000,32800000,0.67,0.089,360,0.7,0.0839,0.1251,1.41,31420775,2752069
HRE-1164,Apex Healthcare Skilled Nursing Portfolio,Apex Healthcare,Portfolio,Acquisition,2025-01-13,46300000,67100000,0.69,0.0924,394,0.63,0.0853,0.1237,1.34,72960043,5725274
HRE-1165,Apex Healthcare Senior Housing Portfolio,Apex Healthcare,Portfolio,Acquisition,2024-10-27,19000000,27500000,0.69,0.0855,405,0.71,0.0932,0.1349,1.58,26935256,2562587
HRE-1166,Beacon Capital Skilled Nursing facility,Beacon Capital,Single Asset,Acquisition,2024-09-30,8100000,12200000,0.66,0.0859,409,0.62,0.0924,0.1392,1.62,13121176,1127742
HRE-1167,Apex Healthcare Senior Housing facility,Apex Healthcare,Single Asset,Acquisition,2025-02-12,13500000,19900000,0.68,0.092,390,0.64,0.0875,0.1289,1.4,21008265,1740597
HRE-1168,Midwest Health Ops Senior Housing facility,Midwest Health Ops,Single Asset,Acquisition,2024-12-13,10500000,15200000,0.69,0.0929,399,0.65,0.0925,0.1338,1.44,16226523,1405417
HRE-1169,Beacon Capital Medical Office facility,Beacon Capital,Single Asset,Refinance,2024-11-10,6600000,9900000,0.67,0.0853,403,0.7,0.0892,0.1338,1.57,9414017,883187
HRE-1170,Apex Healthcare Skilled Nursing facility,Apex Healthcare,Single Asset,Acquisition,2024-01-16,11500000,18300000,0.63,0.0894,444,0.63,0.0948,0.1509,1.69,18162345,1735226
HRE-1171,Apex Healthcare Medical Office facility,Apex Healthcare,Single Asset,Acquisition,2024-04-17,15100000,24300000,0.62,0.0881,431,0.57,0.0965,0.1554,1.76,26425287,2345821
HRE-1172,Midwest Health Ops Senior Housing facility,Midwest Health Ops,Single Asset,Refinance,2024-04-12,8600000,13600000,0.63,0.0882,432,0.66,0.0883,0.1396,1.58,13067372,1200807
HRE-1173,Beacon Capital Medical Office facility,Beacon Capital,Single Asset,Acquisition,2024-07-26,8600000,13900000,0.62,0.0868,418,0.59,0.088,0.1422,1.64,14490940,1222716
HRE-1174,Silver Care Partners Life Science facility,Silver Care Partners,Single Asset,Refinance,2025-07-06,9000000,12300000,0.73,0.09,370,0.75,0.0909,0.1243,1.38,12062715,1118251
HRE-1175,Silver Care Partners Life Science facility,Silver Care Partners,Single Asset,Refinance,2025-02-22,9300000,13500000,0.69,0.0919,389,0.7,0.0841,0.1221,1.33,13218356,1135573
HRE-1176,Midwest Health Ops Skilled Nursing facility,Midwest Health Ops,Single Asset,Acquisition,2025-06-05,5000000,6900000,0.72,0.0905,375,0.72,0.0892,0.1231,1.36,6976997,615622
HRE-1177,Silver Care Partners Skilled Nursing Portfolio,Silver Care Partners,Portfolio,Acquisition,2024-09-04,30400000,45300000,0.67,0.0862,412,0.62,0.0876,0.1305,1.51,48660645,3966465
HRE-1178,Beacon Capital Life Science facility,Beacon Capital,Single Asset,Acquisition,2024-12-28,13900000,20400000,0.68,0.0926,396,0.63,0.0888,0.1304,1.41,21926195,1812065
HRE-1179,Midwest Health Ops Skilled Nursing facility,Midwest Health Ops,Single Asset,Acquisition,2024-11-21,5200000,7800000,0.67,0.0852,402,0.63,0.0943,0.1414,1.66,8312629,735282
HRE-1180,Apex Healthcare Senior Housing facility,Apex Healthcare,Single Asset,Refinance,2024-02-04,12300000,19200000,0.64,0.0891,441,0.61,0.0917,0.1431,1.61,20250882,1760416
HRE-1181,Silver Care Partners Life Science Portfolio,Silver Care Partners,Portfolio,Acquisition,2025-10-01,33900000,46400000,0.73,0.0889,359,0.7,0.0887,0.1215,1.37,48193217,4117989
HRE-1182,Midwest Health Ops Medical Office Portfolio,Midwest Health Ops,Portfolio,Acquisition,2023-12-13,34400000,54600000,0.63,0.0899,449,0.58,0.0923,0.1464,1.63,58922657,5037880
HRE-1183,Apex Healthcare Senior Housing Portfolio,Apex Healthcare,Portfolio,Refinance,2024-09-13,13100000,21100000,0.62,0.0861,411,0.65,0.0959,0.1544,1.79,20209661,2022786
HRE-1184,Beacon Capital Skilled Nursing facility,Beacon Capital,Single Asset,Refinance,2024-12-20,7900000,11900000,0.66,0.0928,398,0.68,0.0876,0.132,1.42,11571069,1042821
HRE-1185,Apex Healthcare Skilled Nursing facility,Apex Healthcare,Single Asset,Refinance,2024-01-24,12400000,19400000,0.64,0.0893,443,0.63,0.0899,0.1406,1.57,19705942,1743261
HRE-1186,Midwest Health Ops Medical Office facility,Midwest Health Ops,Single Asset,Refinance,2025-10-18,13000000,18600000,0.7,0.0886,356,0.73,0.0809,0.1158,1.31,17911004,1504822
HRE-1187,Beacon Capital Senior Housing Portfolio,Beacon Capital,Portfolio,Acquisition,2025-01-20,39200000,59400000,0.66,0.0923,393,0.6,0.0864,0.1309,1.42,65205052,5130883
HRE-1188,Silver Care Partners Skilled Nursing facility,Silver Care Partners,Single Asset,Construction,2025-04-18,8200000,12400000,0.66,0.0911,381,0.69,0.0885,0.1338,1.47,11819857,1097220
HRE-1189,Midwest Health Ops Life Science facility,Midwest Health Ops,Single Asset,Refinance,2025-06-26,18500000,25700000,0.72,0.0902,372,0.67,0.0871,0.121,1.34,27628260,2238533
HRE-1190,Silver Care Partners Skilled Nursing facility,Silver Care Partners,Single Asset,Acquisition,2025-06-14,17600000,26300000,0.67,0.0903,373,0.62,0.0866,0.1295,1.43,28259306,2278707
HRE-1191,Silver Care Partners Skilled Nursing Portfolio,Silver Care Partners,Portfolio,Refinance,2025-06-30,17400000,25200000,0.69,0.0901,371,0.68,0.0823,0.1192,1.32,25506703,2073846
HRE-1192,Midwest Health Ops Life Science facility,Midwest Health Ops,Single Asset,Acquisition,2025-02-19,10900000,16100000,0.68,0.0919,389,0.63,0.0868,0.1283,1.4,17358322,1397951
HRE-1193,Silver Care Partners Medical Office facility,Silver Care Partners,Single Asset,Refinance,2025-08-06,7700000,11000000,0.7,0.0896,366,0.7,0.0817,0.1168,1.3,10949815,898999
HRE-1194,Apex Healthcare Life Science Portfolio,Apex Healthcare,Portfolio,Refinance,2025-04-06,14900000,21900000,0.68,0.0913,383,0.66,0.0841,0.1237,1.35,22588301,1842751
HRE-1195,Beacon Capital Skilled Nursing facility,Beacon Capital,Single Asset,Refinance,2023-12-19,14000000,23300000,0.6,0.0898,448,0.57,0.0958,0.1595,1.78,24423086,2232576
HRE-1196,Midwest Health Ops Senior Housing facility,Midwest Health Ops,Single Asset,Refinance,2025-10-15,9700000,13700000,0.71,0.0887,357,0.71,0.0838,0.1183,1.33,13581568,1147464
HRE-1197,Silver Care Partners Life Science facility,Silver Care Partners,Single Asset,Refinance,2025-01-19,5300000,7700000,0.69,0.0923,393,0.69,0.0889,0.1292,1.4,7639732,684911
HRE-1198,Silver Care Partners Medical Office facility,Silver Care Partners,Single Asset,Construction,2025-10-08,11400000,16300000,0.7,0.0888,358,0.65,0.09,0.1287,1.45,17496626,1467409
HRE-1199,Silver Care Partners Medical Office facility,Silver Care Partners,Single Asset,Acquisition,2024-12-15,8600000,13400000,0.64,0.0928,398,0.64,0.0944,0.147,1.58,13348189,1264554
