Property_ID,Deal_ID,Address,City,State,Asset_Type,Appraised_Value,Cap_Rate,Detailed_Type
HRE-2024-176-P3,HRE-2024-176,694 Davila Lakes,East Robert,AK,Medical Office,10970000,0.0812,Medical Office
HRE-2024-176-P4,HRE-2024-176,70 Mark Park,Smithtown,OR,Medical Office,4230000,0.0815,Medical Office
HRE-2024-176-P5,HRE-2024-176,468 Shawn Creek,West Cassandrashire,MI,Medical Office,3270000,0.0791,Medical Office
HRE-2024-176-P6,HRE-2024-176,854 Rubio Parkways,Nicholsonside,WA,Medical Office,11250000,0.0816,Medical Office
HRE-2024-177-P1,HRE-2024-177,490 Jones Loaf,Heatherburgh,VI,Skilled Nursing,11150000,0.1023,Skilled Nursing
HRE-2024-177-P2,HRE-2024-177,530 Nicholas Trace,Juantown,OR,Skilled Nursing,7960000,0.1018,Skilled Nursing
HRE-2024-177-P3,HRE-2024-177,752 Barnes Shores,New Brianmouth,UT,Skilled Nursing,2060000,0.1022,Skilled Nursing
HRE-2024-177-P4,HRE-2024-177,811 Kyle Skyway,Flowersfort,VA,Skilled Nursing,3730000,0.1016,Skilled Nursing
HRE-2024-177-P5,HRE-2024-177,718 Ochoa Plains,Michelleberg,MN,Skilled Nursing,2830000,0.1014,Skilled Nursing
HRE-2024-177-P6,HRE-2024-177,652 Bowers Fords,Lake Saratown,MI,Skilled Nursing,5770000,0.1006,Skilled Nursing
HRE-2024-178-P1,HRE-2024-178,361 Valencia Mission,Cookburgh,AS,Skilled Nursing,33850000,0.1118,Skilled Nursing
HRE-2024-178-P2,HRE-2024-178,967 Matthews Islands,New Luisbury,NC,Skilled Nursing,1980000,0.1126,Skilled Nursing
HRE-2024-178-P3,HRE-2024-178,319 John Stravenue,Cherylbury,DC,Skilled Nursing,58010000,0.1138,Skilled Nursing
HRE-2024-178-P4,HRE-2024-178,757 Katherine Manors,Port Pamela,PW,Skilled Nursing,4130000,0.1145,Skilled Nursing
HRE-2024-178-P5,HRE-2024-178,583 Richard Drives,New Deborah,DC,Skilled Nursing,5120000,0.1135,Skilled Nursing
HRE-2024-179-P1,HRE-2024-179,780 Daniel Creek,North Steven,MO,Senior Housing,13100000,0.0896,Senior Housing
HRE-2024-180-P1,HRE-2024-180,842 Bender Valleys,New Robert,OH,Medical Office,5560000,0.0807,Medical Office
HRE-2024-180-P2,HRE-2024-180,568 Buck Street,Heidiport,CO,Medical Office,19060000,0.0802,Medical Office
HRE-2024-180-P3,HRE-2024-180,904 Richard Forges,Lake Joseph,CT,Medical Office,990000,0.0781,Medical Office
HRE-2024-180-P4,HRE-2024-180,593 Rebecca Ridges,North Erika,TN,Medical Office,1390000,0.0797,Medical Office
HRE-2024-180-P5,HRE-2024-180,333 Garcia Greens,South Luisview,CA,Medical Office,15630000,0.0793,Medical Office
HRE-2024-180-P6,HRE-2024-180,15 Daniel Roads,Lake Sierra,NY,Medical Office,7110000,0.0803,Medical Office
HRE-2024-180-P7,HRE-2024-180,124 Woodard Knolls,Blackwellton,ME,Medical Office,4850000,0.0798,Medical Office
HRE-2024-180-P8,HRE-2024-180,305 Stone Trail,Jeffreyfort,DE,Medical Office,15910000,0.0788,Medical Office
HRE-2024-181-P1,HRE-2024-181,441 Thomas Path,Johntown,AZ,Medical Office,1920000,0.0812,Medical Office
HRE-2024-181-P2,HRE-2024-181,673 James Forks,Aguirreberg,CA,Medical Office,20990000,0.081,Medical Office
HRE-2024-181-P3,HRE-2024-181,637 Cox Tunnel,West Kristy,OH,Medical Office,590000,0.0786,Medical Office
HRE-2024-181-P4,HRE-2024-181,450 Diana Ferry,West Colleen,MT,Medical Office,2240000,0.0786,Medical Office
HRE-2024-181-P5,HRE-2024-181,534 Erica Causeway,Lake Shelleychester,TX,Medical Office,10380000,0.0803,Medical Office
HRE-2024-181-P6,HRE-2024-181,831 Megan Ports,West Joanna,MD,Medical Office,8190000,0.0807,Medical Office
HRE-2024-181-P7,HRE-2024-181,385 Michael Squares,West Connie,AK,Medical Office,470000,0.0792,Medical Office
HRE-2024-181-P8,HRE-2024-181,988 Willis Flats,Evanschester,KY,Medical Office,6560000,0.0789,Medical Office
HRE-2024-181-P9,HRE-2024-181,327 Turner Camp,Port Mary,CT,Medical Office,10330000,0.0808,Medical Office
HRE-2024-181-P10,HRE-2024-181,636 James Street,Markport,UT,Medical Office,4820000,0.0791,Medical Office
HRE-2024-182-P1,HRE-2024-182,730 Wheeler Stravenue,Davenportville,CT,Life Science,1260000,0.0766,Life Science
HRE-2024-182-P2,HRE-2024-182,93 Navarro Station,Jesseton,RI,Life Science,5700000,0.0779,Life Science
HRE-2024-182-P3,HRE-2024-182,173 Jessica Mission,Cookburgh,OR,Life Science,6510000,0.0766,Life Science
HRE-2024-182-P4,HRE-2024-182,368 Clark Street,South Tonyside,ME,Life Science,19790000,0.0752,Life Science
HRE-2024-182-P5,HRE-2024-182,773 Joseph Cliffs,Lake Steven,AK,Life Science,220000,0.0776,Life Science
HRE-2024-182-P6,HRE-2024-182,892 Oscar Land,West Kimberly,RI,Life Science,2410000,0.0777,Life Science
HRE-2024-182-P7,HRE-2024-182,329 Erica Plains,South Annside,AZ,Life Science,1760000,0.077,Life Science
HRE-2024-182-P8,HRE-2024-182,336 Timothy Locks,Donnaport,PW,Life Science,9500000,0.0754,Life Science
HRE-2024-182-P9,HRE-2024-182,276 Shaw Divide,Oliverfurt,VA,Life Science,230000,0.078,Life Science
HRE-2024-182-P10,HRE-2024-182,511 Shelley Garden,North Maria,LA,Life Science,19030000,0.078,Life Science
HRE-2024-183-P1,HRE-2024-183,813 James Pine,Zacharyside,WY,Senior Housing,18500000,0.0765,Senior Housing
HRE-2024-184-P1,HRE-2024-184,458 Wong Fall,Lake Jessica,DC,Senior Housing,26800000,0.0907,Senior Housing
HRE-2024-185-P1,HRE-2024-185,388 Thomas Ford,Jessicaborough,TX,Medical Office,32800000,0.0808,Medical Office
HRE-2024-186-P1,HRE-2024-186,462 Moore Bridge,West Louis,NY,Senior Housing,440000,0.0769,Senior Housing
HRE-2024-186-P2,HRE-2024-186,665 Williams Place,West Dennis,CT,Senior Housing,1400000,0.0741,Senior Housing
HRE-2024-186-P3,HRE-2024-186,914 Lee Cliff,North Michaelborough,FM,Senior Housing,2880000,0.0747,Senior Housing
HRE-2024-186-P4,HRE-2024-186,165 Jennifer Forest,Lake Josephshire,ME,Senior Housing,13560000,0.0751,Senior Housing
HRE-2024-186-P5,HRE-2024-186,229 Stein Club,North Connie,VI,Senior Housing,5340000,0.0734,Senior Housing
HRE-2024-186-P6,HRE-2024-186,586 Gonzalez Unions,Stevenborough,NY,Senior Housing,40000,0.0765,Senior Housing
HRE-2024-186-P7,HRE-2024-186,18 Caitlin Lodge,Longland,VT,Senior Housing,680000,0.0767,Senior Housing
HRE-2024-186-P8,HRE-2024-186,957 Hernandez Squares,Josephland,LA,Senior Housing,1730000,0.0748,Senior Housing
HRE-2024-186-P9,HRE-2024-186,168 Day Lodge,Port Erin,MO,Senior Housing,1430000,0.0741,Senior Housing
HRE-2024-187-P1,HRE-2024-187,605 Bishop Groves,Davidburgh,AS,Medical Office,19000000,0.0816,Medical Office
HRE-2024-188-P1,HRE-2024-188,255 Maria Row,Sandraview,CO,Medical Office,4460000,0.0677,Medical Office
HRE-2024-188-P2,HRE-2024-188,602 Michael Shore,Port Angelicatown,WI,Medical Office,27100000,0.0713,Medical Office
HRE-2024-188-P3,HRE-2024-188,252 Miller Trace,North Michaelville,IA,Medical Office,11150000,0.0696,Medical Office
HRE-2024-188-P4,HRE-2024-188,959 Evan Ramp,Derekstad,HI,Medical Office,6520000,0.069,Medical Office
HRE-2024-188-P5,HRE-2024-188,118 Chad Pine,East Allen,WV,Medical Office,25530000,0.0716,Medical Office
HRE-2024-188-P6,HRE-2024-188,55 Michael Roads,Wardville,VT,Medical Office,7580000,0.0696,Medical Office
HRE-2024-188-P7,HRE-2024-188,895 Pierce Trafficway,New Ronald,NM,Medical Office,2760000,0.0706,Medical Office
HRE-2024-189-P1,HRE-2024-189,16 Donna Plains,New Ronald,NJ,Medical Office,17800000,0.0789,Medical Office
HRE-2024-190-P1,HRE-2024-190,630 Lester Valleys,West Phillipmouth,MT,Senior Housing,5720000,0.0874,Senior Housing
HRE-2024-190-P2,HRE-2024-190,849 Misty Roads,West Edward,AL,Senior Housing,13100000,0.0885,Senior Housing
HRE-2024-190-P3,HRE-2024-190,63 Juarez Mill,Lake Frederick,DC,Senior Housing,27180000,0.0874,Senior Housing
HRE-2024-190-P4,HRE-2024-190,872 Shaffer Canyon,East Kimberly,WY,Senior Housing,1800000,0.0885,Senior Housing
HRE-2024-190-P5,HRE-2024-190,16 Smith Dam,Barnesview,NM,Senior Housing,4140000,0.0873,Senior Housing
HRE-2024-190-P6,HRE-2024-190,213 Michael Rest,North Jonathan,GA,Senior Housing,4280000,0.0866,Senior Housing
HRE-2024-190-P7,HRE-2024-190,20 Galvan Knolls,Garnerbury,MO,Senior Housing,9680000,0.086,Senior Housing
HRE-2024-190-P8,HRE-2024-190,692 Frank Station,East Rebecca,PW,Senior Housing,10000,0.0888,Senior Housing
HRE-2024-190-P9,HRE-2024-190,606 Huffman Canyon,Reynoldsberg,ID,Senior Housing,17490000,0.0886,Senior Housing
HRE-2024-190-P10,HRE-2024-190,499 Martin Key,West Zoeport,GA,Senior Housing,3650000,0.0867,Senior Housing
HRE-2024-190-P11,HRE-2024-190,936 Sandra Views,South Anthony,WA,Senior Housing,4460000,0.0875,Senior Housing
HRE-2024-190-P12,HRE-2024-190,636 Cardenas Corners,South Tammy,OH,Senior Housing,6580000,0.0868,Senior Housing
HRE-2024-191-P1,HRE-2024-191,314 Love Loaf,Josehaven,AR,Medical Office,10400000,0.0814,Medical Office
HRE-2024-192-P1,HRE-2024-192,862 Kevin Cliffs,Benjamintown,ID,Medical Office,8900000,0.0788,Medical Office
HRE-2024-193-P1,HRE-2024-193,31 Ferguson Ridges,Kellishire,AS,Skilled Nursing,16100000,0.1093,Skilled Nursing
HRE-2024-194-P1,HRE-2024-194,638 Danny Lane,Jonathanside,MS,Senior Housing,20630000,0.0855,Senior Housing
HRE-2024-194-P2,HRE-2024-194,769 Daisy Extensions,North Mark,IL,Senior Housing,13250000,0.0847,Senior Housing
HRE-2024-194-P3,HRE-2024-194,415 Hess Place,Adamsmouth,IA,Senior Housing,33910000,0.0841,Senior Housing
HRE-2024-195-P1,HRE-2024-195,507 James Centers,Lake Gabrielside,NM,Senior Housing,20300000,0.0893,Senior Housing
HRE-2024-196-P1,HRE-2024-196,714 James Estate,Geneside,CO,Skilled Nursing,3190000,0.1106,Skilled Nursing
HRE-2024-196-P2,HRE-2024-196,180 Sarah Flats,Traceychester,UT,Skilled Nursing,4150000,0.1104,Skilled Nursing
HRE-2024-196-P3,HRE-2024-196,523 Anderson Harbors,Lake Savannah,CT,Skilled Nursing,2870000,0.1095,Skilled Nursing
HRE-2024-196-P4,HRE-2024-196,559 Amanda Walks,Davidberg,HI,Skilled Nursing,1100000,0.1128,Skilled Nursing
HRE-2024-196-P5,HRE-2024-196,90 Robert Course,Justinfort,VT,Skilled Nursing,3870000,0.1124,Skilled Nursing
HRE-2024-196-P6,HRE-2024-196,723 Whitney Rest,New Cody,LA,Skilled Nursing,2770000,0.1117,Skilled Nursing
HRE-2024-196-P7,HRE-2024-196,17 Bullock Gateway,West Joel,IA,Skilled Nursing,2520000,0.1119,Skilled Nursing
HRE-2024-196-P8,HRE-2024-196,656 Haas Mall,New Josephville,WA,Skilled Nursing,3840000,0.1117,Skilled Nursing
HRE-2024-197-P1,HRE-2024-197,432 Scott Fords,East Ashley,DE,Medical Office,2660000,0.08,Medical Office
HRE-2024-197-P2,HRE-2024-197,880 Griffin Fords,Goodmanmouth,HI,Medical Office,3410000,0.0782,Medical Office
HRE-2024-197-P3,HRE-2024-197,261 Hall Ways,Portermouth,RI,Medical Office,2780000,0.0783,Medical Office
HRE-2024-197-P4,HRE-2024-197,821 Martinez Cove,North Leonardchester,UT,Medical Office,1400000,0.0797,Medical Office
HRE-2024-197-P5,HRE-2024-197,283 Anthony Stravenue,New Lisa,WI,Medical Office,1790000,0.0818,Medical Office
HRE-2024-197-P6,HRE-2024-197,803 Liu Motorway,Yangstad,RI,Medical Office,430000,0.0784,Medical Office
HRE-2024-197-P7,HRE-2024-197,700 Romero River,North Julie,PW,Medical Office,7030000,0.0788,Medical Office
HRE-2024-197-P8,HRE-2024-197,271 Kimberly Hills,Mercedeston,VT,Medical Office,23540000,0.0798,Medical Office
HRE-2024-197-P9,HRE-2024-197,272 Long Roads,Lake Andreatown,IN,Medical Office,8500000,0.0802,Medical Office
HRE-2024-197-P10,HRE-2024-197,484 Patterson Trail,Davismouth,MD,Medical Office,1270000,0.0806,Medical Office
HRE-2024-198-P1,HRE-2024-198,178 Mark Pine,East Karen,FL,Life Science,11300000,0.0747,Life Science
HRE-2024-199-P1,HRE-2024-199,250 Anderson Turnpike,North Angelaborough,FL,Senior Housing,7330000,0.0868,Senior Housing
HRE-2024-199-P2,HRE-2024-199,434 Reed Corners,South Keithbury,ME,Senior Housing,5640000,0.0862,Senior Housing
HRE-2024-199-P3,HRE-2024-199,142 Stevens Walk,West Anthonyfurt,PW,Senior Housing,5250000,0.0871,Senior Housing
HRE-2024-199-P4,HRE-2024-199,885 Franco Cove,Sandersmouth,LA,Senior Housing,2000000,0.0858,Senior Housing
HRE-2024-199-P5,HRE-2024-199,615 Lane Mountain,Smithchester,WA,Senior Housing,9950000,0.0865,Senior Housing
HRE-2024-199-P6,HRE-2024-199,969 Moyer Flats,Dianaville,NJ,Senior Housing,1320000,0.0853,Senior Housing
HRE-2024-199-P7,HRE-2024-199,965 Mercer Rest,Lonniemouth,FM,Senior Housing,4210000,0.0867,Senior Housing
HRE-2024-200-P1,HRE-2024-200,497 Young Fort,South Jasonmouth,CO,Medical Office,310000,0.081,Medical Office
HRE-2024-200-P2,HRE-2024-200,820 Cummings Throughway,Christytown,VT,Medical Office,1450000,0.0792,Medical Office
HRE-2024-200-P3,HRE-2024-200,949 Clark Causeway,Clarkland,ME,Medical Office,5400000,0.0799,Medical Office
HRE-2024-200-P4,HRE-2024-200,190 Sherry Stravenue,New Sandra,NJ,Medical Office,16520000,0.079,Medical Office
HRE-2024-200-P5,HRE-2024-200,73 Garner Cliff,South Crystal,CT,Medical Office,760000,0.0807,Medical Office
HRE-2024-200-P6,HRE-2024-200,952 Samuel Street,South Morganchester,LA,Medical Office,4430000,0.0797,Medical Office
HRE-2024-200-P7,HRE-2024-200,524 Darrell Fall,North Rita,LA,Medical Office,4920000,0.0806,Medical Office
HRE-2024-201-P1,HRE-2024-201,939 Brianna Track,Norriston,PW,Medical Office,9400000,0.0818,Medical Office
HRE-2024-202-P1,HRE-2024-202,725 Garza Ville,Port Karen,NH,Medical Office,8100000,0.081,Medical Office
HRE-2024-203-P1,HRE-2024-203,254 Johnny Mills,East Jasonmouth,NV,Medical Office,2560000,0.0788,Medical Office
HRE-2024-203-P2,HRE-2024-203,243 Burgess Avenue,Port Josephshire,UT,Medical Office,2350000,0.081,Medical Office
HRE-2024-203-P3,HRE-2024-203,525 Gomez Landing,Lake Luisbury,MN,Medical Office,1790000,0.0794,Medical Office
HRE-2024-203-P4,HRE-2024-203,495 Brent Pike,Port Leonard,NV,Medical Office,110000,0.0792,Medical Office
HRE-2024-203-P5,HRE-2024-203,617 Samuel Way,West Ericaberg,FM,Medical Office,3480000,0.0803,Medical Office
HRE-2024-203-P6,HRE-2024-203,799 Anderson Springs,East Angela,DE,Medical Office,16550000,0.079,Medical Office
HRE-2024-203-P7,HRE-2024-203,91 Flynn Village,South Caseyland,ME,Medical Office,1410000,0.0816,Medical Office
HRE-2024-203-P8,HRE-2024-203,846 Olivia Route,Port Normafort,IA,Medical Office,4780000,0.0805,Medical Office
HRE-2024-203-P9,HRE-2024-203,383 Kaiser Place,North Scott,RI,Medical Office,14240000,0.081,Medical Office
HRE-2024-203-P10,HRE-2024-203,339 Katrina Stravenue,Port Willie,DE,Medical Office,1960000,0.0799,Medical Office
HRE-2024-203-P11,HRE-2024-203,899 Thompson Meadows,West Samanthafort,IA,Medical Office,7090000,0.0803,Medical Office
HRE-2024-204-P1,HRE-2024-204,2 Small Estate,Hallshire,WI,Medical Office,22700000,0.0816,Medical Office
HRE-2024-205-P1,HRE-2024-205,906 Daniel Flats,Nelsonborough,MT,Life Science,31900000,0.0623,Life Science
HRE-2024-206-P1,HRE-2024-206,582 Kim Port,Port Jeremy,MN,Medical Office,10800000,0.0784,Medical Office
HRE-2024-207-P1,HRE-2024-207,92 Pham Summit,Davidchester,CA,Medical Office,41100000,0.0813,Medical Office
HRE-2024-208-P1,HRE-2024-208,381 Rodriguez Station,Luismouth,TN,Medical Office,10100000,0.0783,Medical Office
HRE-2024-209-P1,HRE-2024-209,728 James Spurs,South Sean,IN,Senior Housing,26400000,0.0827,Senior Housing
HRE-2024-210-P1,HRE-2024-210,340 Michelle Road,Walshside,IA,Life Science,53400000,0.0861,Life Science
HRE-2024-211-P1,HRE-2024-211,208 Stephanie Prairie,Loganville,NE,Medical Office,10300000,0.0709,Medical Office
HRE-2024-212-P1,HRE-2024-212,208 Roberts Parks,Scottview,DE,Life Science,19400000,0.0779,Life Science
HRE-2024-213-P1,HRE-2024-213,211 Holly Corner,East Aaronborough,MA,Medical Office,600000,0.0782,Medical Office
HRE-2024-213-P2,HRE-2024-213,977 Danny Meadows,Rodriguezfurt,MA,Medical Office,380000,0.0814,Medical Office
HRE-2024-213-P3,HRE-2024-213,697 Tracy Via,Port Larryborough,MH,Medical Office,270000,0.0789,Medical Office
HRE-2024-213-P4,HRE-2024-213,490 Mitchell Square,Lisaville,UT,Medical Office,6930000,0.0811,Medical Office
HRE-2024-213-P5,HRE-2024-213,674 Stefanie Track,South Nancy,OH,Medical Office,810000,0.0811,Medical Office
HRE-2024-213-P6,HRE-2024-213,959 Sandra Shores,Lisabury,MD,Medical Office,110000,0.0812,Medical Office
HRE-2024-213-P7,HRE-2024-213,298 Zuniga Brooks,North Anthonymouth,DC,Medical Office,340000,0.0808,Medical Office
HRE-2024-213-P8,HRE-2024-213,449 Warner Meadows,East Teresa,AR,Medical Office,5040000,0.0809,Medical Office
HRE-2024-213-P9,HRE-2024-213,206 Shelley Lake,Jenniferton,RI,Medical Office,3460000,0.0793,Medical Office
HRE-2024-213-P10,HRE-2024-213,290 Mckinney Alley,Nobleshire,MH,Medical Office,4940000,0.0791,Medical Office
HRE-2024-213-P11,HRE-2024-213,326 Stone Summit,Lake Alexandria,NM,Medical Office,410000,0.08,Medical Office
HRE-2024-214-P1,HRE-2024-214,902 Andrew Prairie,Atkinsland,NH,Life Science,11700000,0.0787,Life Science
HRE-2024-215-P1,HRE-2024-215,915 Kevin Place,Loveton,VI,Medical Office,14600000,0.0811,Medical Office
HRE-2024-216-P1,HRE-2024-216,357 Perry Club,Harrisview,DC,Skilled Nursing,27800000,0.0953,Skilled Nursing
HRE-2024-217-P1,HRE-2024-217,453 Samantha Crossroad,Haileyshire,LA,Medical Office,38900000,0.0813,Medical Office
HRE-2024-218-P1,HRE-2024-218,303 Chris Burg,Johnsontown,MS,Senior Housing,56900000,0.0767,Senior Housing
HRE-2024-219-P1,HRE-2024-219,869 Smith Cliffs,Ginastad,MI,Skilled Nursing,1010000,0.1153,Skilled Nursing
HRE-2024-219-P2,HRE-2024-219,383 Garcia Extension,Justinton,MT,Skilled Nursing,4110000,0.1131,Skilled Nursing
HRE-2024-219-P3,HRE-2024-219,398 Jillian Crossing,East Kristenton,MP,Skilled Nursing,3000000,0.1144,Skilled Nursing
HRE-2024-219-P4,HRE-2024-219,781 Robert Mills,New Kayla,CT,Skilled Nursing,280000,0.1142,Skilled Nursing
HRE-2024-219-P5,HRE-2024-219,755 Brandon Ranch,Lake Lisa,GA,Skilled Nursing,700000,0.1148,Skilled Nursing
HRE-2024-219-P6,HRE-2024-219,769 Karen Garden,Guzmanville,DC,Skilled Nursing,4300000,0.1131,Skilled Nursing
HRE-2024-219-P7,HRE-2024-219,17 Julia Parkway,Jensenburgh,FM,Skilled Nursing,7580000,0.1161,Skilled Nursing
HRE-2024-219-P8,HRE-2024-219,601 Thomas Inlet,Sethside,ND,Skilled Nursing,2170000,0.114,Skilled Nursing
HRE-2024-219-P9,HRE-2024-219,727 Raven Hollow,East Charlesfurt,MI,Skilled Nursing,1190000,0.1138,Skilled Nursing
HRE-2024-219-P10,HRE-2024-219,170 Peterson Bypass,New Derekport,NM,Skilled Nursing,4470000,0.1134,Skilled Nursing
HRE-2024-220-P1,HRE-2024-220,197 Elizabeth Alley,Murphyview,AZ,Senior Housing,13800000,0.0894,Senior Housing
HRE-2024-221-P1,HRE-2024-221,455 Kelly Light,Coreybury,CO,Life Science,16100000,0.0713,Life Science
HRE-2024-222-P1,HRE-2024-222,505 Miller Shoals,New Damon,AR,Life Science,39800000,0.087,Life Science
HRE-2024-223-P1,HRE-2024-223,360 Brian Turnpike,North Nicole,AS,Senior Housing,15900000,0.0846,Senior Housing
HRE-2024-224-P1,HRE-2024-224,933 David Square,Markshire,ME,Medical Office,19800000,0.0804,Medical Office
HRE-2024-225-P1,HRE-2024-225,913 Valencia Meadows,New James,DE,Skilled Nursing,5250000,0.1138,Skilled Nursing
HRE-2024-225-P2,HRE-2024-225,808 Destiny Village,Justintown,PA,Skilled Nursing,150000,0.1164,Skilled Nursing
HRE-2024-225-P3,HRE-2024-225,876 Cross Forks,Valerieland,NV,Skilled Nursing,2300000,0.1135,Skilled Nursing
HRE-2024-225-P4,HRE-2024-225,103 Jennifer Knoll,Barajasmouth,NY,Skilled Nursing,10810000,0.1142,Skilled Nursing
HRE-2024-226-P1,HRE-2024-226,802 Tammy Run,Lake John,CA,Medical Office,15800000,0.0789,Medical Office
HRE-2024-227-P1,HRE-2024-227,402 Karen Street,Nathanmouth,MS,Life Science,34400000,0.0765,Life Science
HRE-2024-228-P1,HRE-2024-228,977 Daniel Ports,Mariaborough,ID,Life Science,3980000,0.0763,Life Science
HRE-2024-228-P2,HRE-2024-228,201 Peterson Estate,Warnerhaven,NJ,Life Science,10140000,0.0784,Life Science
HRE-2024-228-P3,HRE-2024-228,885 Cory Plaza,East Chelsea,NV,Life Science,590000,0.0772,Life Science
HRE-2024-228-P4,HRE-2024-228,297 Michelle Summit,New Carolynborough,NJ,Life Science,6340000,0.0759,Life Science
HRE-2024-228-P5,HRE-2024-228,59 Banks Hill,East Charlesshire,SD,Life Science,8260000,0.0757,Life Science
HRE-2024-228-P6,HRE-2024-228,285 Cameron Wells,Bowmanside,AL,Life Science,8770000,0.0784,Life Science
HRE-2024-228-P7,HRE-2024-228,187 Tyler Extensions,New Jeremyshire,CT,Life Science,5000000,0.0781,Life Science
HRE-2024-228-P8,HRE-2024-228,327 Patricia Inlet,Stacychester,NY,Life Science,13040000,0.0748,Life Science
HRE-2024-228-P9,HRE-2024-228,587 Morris Garden,Sandrachester,CO,Life Science,23080000,0.0784,Life Science
HRE-2024-229-P1,HRE-2024-229,513 Keith Port,North Tammyton,RI,Medical Office,21200000,0.0779,Medical Office
HRE-2024-230-P1,HRE-2024-230,333 Kathy Pass,New Andrew,ID,Senior Housing,17200000,0.0914,Senior Housing
HRE-2024-231-P1,HRE-2024-231,341 Stewart Station,Lindsayland,NY,Senior Housing,24000000,0.0813,Senior Housing
HRE-2024-232-P1,HRE-2024-232,180 Suzanne Port,Cynthiaport,ID,Life Science,12550000,0.0669,Life Science
HRE-2024-232-P2,HRE-2024-232,39 Watson Inlet,East David,MN,Life Science,5280000,0.068,Life Science
HRE-2024-232-P3,HRE-2024-232,693 Harvey Manors,Barbarachester,AR,Life Science,3870000,0.0671,Life Science
HRE-2024-232-P4,HRE-2024-232,819 Charles Junctions,Jenkinsberg,OR,Life Science,4400000,0.0683,Life Science
HRE-2024-232-P5,HRE-2024-232,903 Nelson Flat,Ericaview,UT,Life Science,1810000,0.0672,Life Science
HRE-2024-233-P1,HRE-2024-233,883 David Spurs,Meyerport,SD,Medical Office,16200000,0.0802,Medical Office
HRE-2024-234-P1,HRE-2024-234,252 Vincent Skyway,Peterberg,OH,Medical Office,18400000,0.0814,Medical Office
HRE-2024-235-P1,HRE-2024-235,708 Tanner Prairie,South Steven,IL,Medical Office,9900000,0.0796,Medical Office
HRE-2024-236-P1,HRE-2024-236,512 James Common,Hayesstad,AR,Senior Housing,20480000,0.089,Senior Housing
HRE-2024-236-P2,HRE-2024-236,8 Adams Mission,Garybury,NY,Senior Housing,9890000,0.0891,Senior Housing
HRE-2024-236-P3,HRE-2024-236,815 Shelly Highway,North Nathan,IN,Senior Housing,1380000,0.0911,Senior Housing
HRE-2024-236-P4,HRE-2024-236,512 Navarro Station,Nguyenview,DC,Senior Housing,12200000,0.0897,Senior Housing
HRE-2024-236-P5,HRE-2024-236,500 Thomas Overpass,New Monica,FL,Senior Housing,4990000,0.09,Senior Housing
HRE-2024-236-P6,HRE-2024-236,387 Kimberly Mission,West Justinhaven,OH,Senior Housing,21060000,0.0905,Senior Housing
HRE-2024-237-P1,HRE-2024-237,12 Julie Grove,West Karenview,IN,Life Science,18400000,0.0688,Life Science
HRE-2024-238-P1,HRE-2024-238,676 Phillips Lakes,Lake Toddberg,SC,Senior Housing,13000000,0.0878,Senior Housing
HRE-2024-239-P1,HRE-2024-239,288 Henry Rapids,New Steveton,AK,Senior Housing,3100000,0.0887,Senior Housing
HRE-2024-239-P2,HRE-2024-239,171 Daniel Trail,Marcusmouth,MT,Senior Housing,3600000,0.0889,Senior Housing
HRE-2024-239-P3,HRE-2024-239,882 Daniel Drive,South Bobbychester,MN,Senior Housing,50000,0.0898,Senior Housing
HRE-2024-239-P4,HRE-2024-239,443 Gonzales Landing,West Valerie,OR,Senior Housing,17080000,0.0888,Senior Housing
HRE-2024-239-P5,HRE-2024-239,403 Allen Street,East Vincent,OK,Senior Housing,3070000,0.0894,Senior Housing
HRE-2024-240-P1,HRE-2024-240,43 Hammond Mews,Warrenshire,TN,Medical Office,400000,0.0781,Medical Office
HRE-2024-240-P2,HRE-2024-240,787 Smith Tunnel,South Andre,MA,Medical Office,80000,0.0811,Medical Office
HRE-2024-240-P3,HRE-2024-240,209 Campos Ways,North Christopher,WV,Medical Office,1620000,0.0806,Medical Office
HRE-2024-240-P4,HRE-2024-240,956 Christopher Skyway,North John,LA,Medical Office,8710000,0.0813,Medical Office
HRE-2024-240-P5,HRE-2024-240,449 Faulkner Common,West Lauren,NE,Medical Office,15630000,0.0802,Medical Office
HRE-2024-240-P6,HRE-2024-240,935 Pearson Via,Port Keith,GA,Medical Office,26270000,0.0788,Medical Office
HRE-2024-240-P7,HRE-2024-240,481 James Trace,Teresaton,AR,Medical Office,4110000,0.0807,Medical Office
HRE-2024-240-P8,HRE-2024-240,203 Ortiz Plain,Ashleychester,AZ,Medical Office,280000,0.0807,Medical Office
HRE-2024-241-P1,HRE-2024-241,787 Thomas Knolls,Port Carol,IA,Senior Housing,33200000,0.09,Senior Housing
HRE-2024-242-P1,HRE-2024-242,143 Smith Summit,Gregburgh,KY,Senior Housing,9500000,0.0803,Senior Housing
HRE-2024-243-P1,HRE-2024-243,894 Leslie Valley,Jamesville,AS,Senior Housing,21800000,0.0895,Senior Housing
HRE-2024-244-P1,HRE-2024-244,890 Phillips Lights,Dominguezfort,DC,Skilled Nursing,8000000,0.1164,Skilled Nursing
HRE-2024-245-P1,HRE-2024-245,706 Juan Bypass,Lake Dannyhaven,MT,Senior Housing,12500000,0.0693,Senior Housing
HRE-2024-246-P1,HRE-2024-246,929 Green Freeway,Crawfordland,RI,Medical Office,11200000,0.081,Medical Office
